50000 200
136 4163 157 137
137 4163 158 47669
138 63758 48 139
139 63758 49 140
140 63758 50 141
141 63758 51 142
142 63758 52 143
143 63758 53 144
144 63758 54 145
145 63758 55 146
146 63758 56 147
147 63758 57 148
148 63758 58 149
149 63758 59 150
150 63758 60 151
151 63758 61 152
152 63758 62 153
153 63758 63 38090
154 15688 233 155
155 15688 234 156
156 15688 235 157
157 15688 236 43973
158 39588 217 17076
159 0 0 0
160 7968 173 604
161 0 0 0
162 20140 1 9554
163 0 0 0
164 0 0 0
165 0 0 0
166 48063 174 9121
167 9084 44 168
168 9084 45 169
169 9084 46 170
170 9084 47 171
171 9084 48 172
172 9084 49 173
173 9084 50 174
174 9084 51 175
175 9084 52 176
176 9084 53 177
177 9084 54 9140
178 24585 93 37020
179 0 0 0
180 0 0 0
181 51101 265 182
182 51101 266 183
183 51101 267 184
184 51101 268 185
185 51101 269 31492
186 14612 1 187
187 14612 2 188
188 14612 3 189
189 14612 4 190
190 14612 5 191
191 14612 6 192
192 14612 7 193
193 14612 8 194
194 14612 9 195
195 14612 10 196
196 14612 11 197
197 14612 12 198
198 14612 13 199
199 14612 14 14092
200 28802 115 22756
201 0 0 0
202 0 0 0
203 0 0 0
204 0 0 0
205 0 0 0
206 24852 2 44786
207 0 0 0
208 26658 81 28250
209 54939 185 25828
210 0 0 0
211 54921 33 32682
212 39642 41 3832
213 0 0 0
214 0 0 0
215 5026 77 17183
216 26658 212 20488
217 2900 77 218
218 2900 78 219
219 2900 79 220
220 2900 80 43609
221 26658 112 17344
222 54939 198 4086
223 0 0 0
224 43834 105 12192
225 64205 149 27818
226 62185 254 227
227 62185 255 228
228 62185 256 229
229 62185 257 6568
230 5160 195 231
231 5160 196 232
232 5160 197 19568
233 27056 188 24648
234 36447 1 235
235 36447 2 236
236 36447 3 237
237 36447 4 238
238 36447 5 239
239 36447 6 240
240 36447 7 241
241 36447 8 242
242 36447 9 243
243 36447 10 244
244 36447 11 245
245 36447 12 246
246 36447 13 247
247 36447 14 248
248 36447 15 249
249 36447 16 48508
250 24585 65 3927
251 0 0 0
252 27583 87 27356
253 24149 66 28560
254 0 0 0
255 0 0 0
256 20656 10 41370
257 0 0 0
258 1040 93 16405
259 0 0 0
260 52864 71 33174
261 0 0 0
262 23940 180 44488
263 0 0 0
264 19110 19 49689
265 0 0 0
266 0 0 0
267 39588 130 30491
268 18465 35 6220
269 18860 82 32740
270 41212 69 271
271 41212 70 272
272 41212 71 273
273 41212 72 274
274 41212 73 27486
275 27583 123 34828
276 0 0 0
277 0 0 0
278 59282 128 19282
279 7968 267 41498
280 28802 86 11056
281 0 0 0
282 20643 293 283
283 20643 294 284
284 20643 295 48078
285 42109 171 22188
286 65533 201 11371
287 0 0 0
288 63959 36 289
289 63959 37 11504
290 47745 20 24104
291 53927 99 33399
292 0 0 0
293 7475 273 1869
294 5957 2 23184
295 0 0 0
296 27294 179 297
297 27294 180 298
298 27294 181 35496
299 55919 305 24204
300 2655 41 40981
301 0 0 0
302 7475 260 36882
303 0 0 0
304 16438 83 1828
305 0 0 0
306 58056 72 32084
307 0 0 0
308 35609 241 46620
309 47467 132 310
310 47467 133 311
311 47467 134 312
312 47467 135 313
313 47467 136 314
314 47467 137 315
315 47467 138 316
316 47467 139 317
317 47467 140 318
318 47467 141 319
319 47467 142 320
320 47467 143 321
321 47467 144 39441
322 57032 57 10210
323 5026 65 45624
324 1040 55 9497
325 0 0 0
326 44631 17 327
327 44631 18 4034
328 32949 1 329
329 32949 2 330
330 32949 3 331
331 32949 4 332
332 32949 5 333
333 32949 6 20088
334 1040 206 18915
335 0 0 0
336 16456 1 337
337 16456 2 338
338 16456 3 339
339 16456 4 340
340 16456 5 341
341 16456 6 342
342 16456 7 343
343 16456 8 344
344 16456 9 345
345 16456 10 346
346 16456 11 347
347 16456 12 348
348 16456 13 349
349 16456 14 350
350 16456 15 351
351 16456 16 352
352 16456 17 353
353 16456 18 354
354 16456 19 355
355 16456 20 356
356 16456 21 357
357 16456 22 358
358 16456 23 359
359 16456 24 360
360 16456 25 361
361 16456 26 362
362 16456 27 363
363 16456 28 364
364 16456 29 365
365 16456 30 366
366 16456 31 367
367 16456 32 368
368 16456 33 369
369 16456 34 370
370 16456 35 371
371 16456 36 372
372 16456 37 373
373 16456 38 374
374 16456 39 375
375 16456 40 376
376 16456 41 377
377 16456 42 378
378 16456 43 379
379 16456 44 380
380 16456 45 381
381 16456 46 382
382 16456 47 383
383 16456 48 384
384 16456 49 385
385 16456 50 386
386 16456 51 387
387 16456 52 388
388 16456 53 389
389 16456 54 390
390 16456 55 391
391 16456 56 392
392 16456 57 393
393 16456 58 394
394 16456 59 395
395 16456 60 396
396 16456 61 397
397 16456 62 398
398 16456 63 399
399 16456 64 400
400 16456 65 401
401 16456 66 402
402 16456 67 403
403 16456 68 404
404 16456 69 405
405 16456 70 406
406 16456 71 407
407 16456 72 408
408 16456 73 409
409 16456 74 410
410 16456 75 411
411 16456 76 412
412 16456 77 413
413 16456 78 414
414 16456 79 5662
415 48063 200 27362
416 5160 260 417
417 5160 261 418
418 5160 262 419
419 5160 263 22520
420 5957 226 2890
421 0 0 0
422 4515 251 423
423 4515 252 424
424 4515 253 425
425 4515 254 15934
426 39194 54 427
427 39194 55 428
428 39194 56 429
429 39194 57 430
430 39194 58 431
431 39194 59 432
432 39194 60 433
433 39194 61 434
434 39194 62 435
435 39194 63 436
436 39194 64 437
437 39194 65 438
438 39194 66 439
439 39194 67 440
440 39194 68 441
441 39194 69 442
442 39194 70 443
443 39194 71 444
444 39194 72 445
445 39194 73 446
446 39194 74 447
447 39194 75 448
448 39194 76 449
449 39194 77 450
450 39194 78 451
451 39194 79 452
452 39194 80 453
453 39194 81 454
454 39194 82 455
455 39194 83 456
456 39194 84 457
457 39194 85 458
458 39194 86 459
459 39194 87 460
460 39194 88 461
461 39194 89 21319
462 46029 33 29236
463 0 0 0
464 0 0 0
465 0 0 0
466 5026 127 4834
467 64205 103 19217
468 47745 92 18890
469 0 0 0
470 58056 141 38587
471 53927 393 33990
472 0 0 0
473 0 0 0
474 59282 41 1542
475 0 0 0
476 0 0 0
477 0 0 0
478 20140 208 25326
479 0 0 0
480 1720 145 481
481 1720 146 482
482 1720 147 483
483 1720 148 484
484 1720 149 485
485 1720 150 25336
486 55919 170 11005
487 0 0 0
488 0 0 0
489 0 0 0
490 25834 212 47722
491 0 0 0
492 48063 242 25645
493 0 0 0
494 2900 93 495
495 2900 94 496
496 2900 95 33801
497 53927 152 1864
498 33623 152 499
499 33623 153 500
500 33623 154 501
501 33623 155 617
502 22501 64 6542
503 0 0 0
504 62234 110 505
505 62234 111 506
506 62234 112 507
507 62234 113 508
508 62234 114 509
509 62234 115 510
510 62234 116 511
511 62234 117 512
512 62234 118 513
513 62234 119 514
514 62234 120 515
515 62234 121 516
516 62234 122 517
517 62234 123 518
518 62234 124 519
519 62234 125 520
520 62234 126 521
521 62234 127 522
522 62234 128 523
523 62234 129 524
524 62234 130 525
525 62234 131 526
526 62234 132 527
527 62234 133 528
528 62234 134 529
529 62234 135 530
530 62234 136 531
531 62234 137 532
532 62234 138 533
533 62234 139 534
534 62234 140 535
535 62234 141 536
536 62234 142 537
537 62234 143 18650
538 54448 21 29129
539 20140 144 40271
540 62185 42 541
541 62185 43 542
542 62185 44 543
543 62185 45 43844
544 2655 85 31446
545 0 0 0
546 26658 87 26292
547 6157 209 548
548 6157 210 549
549 6157 211 550
550 6157 212 551
551 6157 213 552
552 6157 214 553
553 6157 215 46946
554 54939 202 49138
555 17318 1 556
556 17318 2 557
557 17318 3 558
558 17318 4 559
559 17318 5 560
560 17318 6 561
561 17318 7 562
562 17318 8 563
563 17318 9 564
564 17318 10 565
565 17318 11 566
566 17318 12 567
567 17318 13 568
568 17318 14 569
569 17318 15 570
570 17318 16 571
571 17318 17 572
572 17318 18 573
573 17318 19 574
574 17318 20 575
575 17318 21 576
576 17318 22 577
577 17318 23 578
578 17318 24 579
579 17318 25 580
580 17318 26 581
581 17318 27 582
582 17318 28 583
583 17318 29 584
584 17318 30 585
585 17318 31 586
586 17318 32 587
587 17318 33 588
588 17318 34 589
589 17318 35 590
590 17318 36 591
591 17318 37 592
592 17318 38 593
593 17318 39 594
594 17318 40 595
595 17318 41 596
596 17318 42 597
597 17318 43 598
598 17318 44 599
599 17318 45 600
600 17318 46 601
601 17318 47 602
602 17318 48 603
603 17318 49 34660
604 7968 174 14876
605 0 0 0
606 0 0 0
607 19488 23 13527
608 0 0 0
609 55919 72 14310
610 20932 207 611
611 20932 208 612
612 20932 209 613
613 20932 210 614
614 20932 211 615
615 20932 212 9481
616 7968 272 5644
617 33623 156 618
618 33623 157 619
619 33623 158 620
620 33623 159 46688
621 27583 115 41278
622 0 0 0
623 0 0 0
624 28219 23 27149
625 0 0 0
626 18465 12 47958
627 0 0 0
628 28950 72 7881
629 0 0 0
630 25561 40 24237
631 2900 83 632
632 2900 84 633
633 2900 85 45702
634 6965 241 635
635 6965 242 636
636 6965 243 637
637 6965 244 638
638 6965 245 639
639 6965 246 40949
640 28219 1 19644
641 0 0 0
642 27583 125 8888
643 0 0 0
644 0 0 0
645 0 0 0
646 47745 43 1218
647 7475 56 5474
648 33889 91 649
649 33889 92 650
650 33889 93 651
651 33889 94 652
652 33889 95 653
653 33889 96 654
654 33889 97 655
655 33889 98 656
656 33889 99 657
657 33889 100 658
658 33889 101 659
659 33889 102 14551
660 28802 50 31660
661 0 0 0
662 0 0 0
663 0 0 0
664 0 0 0
665 58056 44 47387
666 5957 69 40142
667 0 0 0
668 0 0 0
669 0 0 0
670 26658 275 1363
671 20656 43 41382
672 54860 44 673
673 54860 45 674
674 54860 46 675
675 54860 47 34250
676 25834 167 2220
677 0 0 0
678 54939 2 44369
679 0 0 0
680 39642 178 49057
681 0 0 0
682 48063 222 6523
683 2359 64 684
684 2359 65 685
685 2359 66 686
686 2359 67 687
687 2359 68 688
688 2359 69 689
689 2359 70 690
690 2359 71 691
691 2359 72 692
692 2359 73 693
693 2359 74 694
694 2359 75 695
695 2359 76 696
696 2359 77 697
697 2359 78 698
698 2359 79 699
699 2359 80 700
700 2359 81 701
701 2359 82 702
702 2359 83 703
703 2359 84 704
704 2359 85 705
705 2359 86 706
706 2359 87 707
707 2359 88 708
708 2359 89 709
709 2359 90 20500
710 59282 155 3951
711 61128 59 29623
712 44631 101 713
713 44631 102 23453
714 1040 158 1243
715 53927 351 16152
716 0 0 0
717 0 0 0
718 51450 11 27182
719 55919 230 35963
720 57032 237 22874
721 0 0 0
722 0 0 0
723 0 0 0
724 35609 262 40120
725 0 0 0
726 26658 5 768
727 20643 161 728
728 20643 162 729
729 20643 163 730
730 20643 164 32470
731 15440 4 21407
732 20140 45 33742
733 20140 146 17683
734 0 0 0
735 54733 50 43337
736 54939 210 9595
737 0 0 0
738 24411 218 739
739 24411 219 740
740 24411 220 741
741 24411 221 742
742 24411 222 743
743 24411 223 21096
744 54733 30 12130
745 0 0 0
746 51101 119 747
747 51101 120 748
748 51101 121 749
749 51101 122 750
750 51101 123 751
751 51101 124 47552
752 54965 73 39543
753 46029 67 5243
754 24149 54 7175
755 0 0 0
756 53927 339 16848
757 24411 126 758
758 24411 127 759
759 24411 128 760
760 24411 129 761
761 24411 130 762
762 24411 131 763
763 24411 132 764
764 24411 133 765
765 24411 134 20514
766 27056 183 2925
767 54733 21 11067
768 26658 6 16232
769 0 0 0
770 24585 194 31840
771 0 0 0
772 5957 85 22714
773 0 0 0
774 53410 162 16055
775 0 0 0
776 55919 55 37091
777 0 0 0
778 0 0 0
779 47124 1 32082
780 0 0 0
781 0 0 0
782 26658 188 41421
783 24149 131 25846
784 57032 291 39834
785 0 0 0
786 61128 11 16568
787 25834 104 22040
788 6157 350 789
789 6157 351 790
790 6157 352 791
791 6157 353 792
792 6157 354 1
793 0 0 0
794 55919 139 30388
795 21049 63 796
796 21049 64 797
797 21049 65 798
798 21049 66 14030
799 43702 108 36
800 28219 6 19500
801 0 0 0
802 23940 5 47306
803 0 0 0
804 5026 76 215
805 0 0 0
806 39642 134 28706
807 0 0 0
808 23940 83 11844
809 0 0 0
810 0 0 0
811 0 0 0
812 0 0 0
813 7968 95 36222
814 43702 235 48020
815 0 0 0
816 24852 9 46134
817 0 0 0
818 0 0 0
819 43702 258 4504
820 0 0 0
821 0 0 0
822 43834 180 3990
823 0 0 0
824 25561 32 6134
825 0 0 0
826 26456 357 827
827 26456 358 828
828 26456 359 829
829 26456 360 830
830 26456 361 831
831 26456 362 832
832 26456 363 833
833 26456 364 11558
834 23940 307 35649
835 53410 217 42028
836 7968 169 36317
837 0 0 0
838 27056 35 36730
839 0 0 0
840 53410 37 5348
841 53927 109 42900
842 56531 1 843
843 56531 2 844
844 56531 3 845
845 56531 4 846
846 56531 5 847
847 56531 6 848
848 56531 7 849
849 56531 8 850
850 56531 9 851
851 56531 10 852
852 56531 11 853
853 56531 12 854
854 56531 13 855
855 56531 14 856
856 56531 15 857
857 56531 16 858
858 56531 17 859
859 56531 18 860
860 56531 19 861
861 56531 20 862
862 56531 21 863
863 56531 22 864
864 56531 23 865
865 56531 24 866
866 56531 25 867
867 56531 26 868
868 56531 27 869
869 56531 28 870
870 56531 29 871
871 56531 30 872
872 56531 31 873
873 56531 32 874
874 56531 33 875
875 56531 34 876
876 56531 35 877
877 56531 36 878
878 56531 37 879
879 56531 38 880
880 56531 39 881
881 56531 40 882
882 56531 41 883
883 56531 42 884
884 56531 43 885
885 56531 44 886
886 56531 45 887
887 56531 46 888
888 56531 47 889
889 56531 48 890
890 56531 49 891
891 56531 50 892
892 56531 51 893
893 56531 52 894
894 56531 53 895
895 56531 54 896
896 56531 55 897
897 56531 56 898
898 56531 57 899
899 56531 58 900
900 56531 59 901
901 56531 60 902
902 56531 61 903
903 56531 62 904
904 56531 63 905
905 56531 64 906
906 56531 65 907
907 56531 66 908
908 56531 67 909
909 56531 68 910
910 56531 69 911
911 56531 70 912
912 56531 71 913
913 56531 72 914
914 56531 73 915
915 56531 74 916
916 56531 75 917
917 56531 76 918
918 56531 77 919
919 56531 78 920
920 56531 79 921
921 56531 80 922
922 56531 81 923
923 56531 82 924
924 56531 83 925
925 56531 84 926
926 56531 85 927
927 56531 86 928
928 56531 87 929
929 56531 88 930
930 56531 89 931
931 56531 90 932
932 56531 91 933
933 56531 92 934
934 56531 93 935
935 56531 94 936
936 56531 95 937
937 56531 96 938
938 56531 97 939
939 56531 98 940
940 56531 99 941
941 56531 100 942
942 56531 101 943
943 56531 102 944
944 56531 103 945
945 56531 104 946
946 56531 105 947
947 56531 106 948
948 56531 107 949
949 56531 108 950
950 56531 109 951
951 56531 110 952
952 56531 111 953
953 56531 112 954
954 56531 113 955
955 56531 114 956
956 56531 115 957
957 56531 116 958
958 56531 117 959
959 56531 118 30282
960 59282 190 23790
961 4515 157 962
962 4515 158 963
963 4515 159 31332
964 53927 346 45732
965 0 0 0
966 52864 93 40491
967 27056 80 48030
968 51450 171 2919
969 0 0 0
970 64205 181 43781
971 0 0 0
972 0 0 0
973 57032 113 45866
974 5026 31 31645
975 32931 57 976
976 32931 58 977
977 32931 59 978
978 32931 60 979
979 32931 61 980
980 32931 62 981
981 32931 63 982
982 32931 64 983
983 32931 65 22198
984 25561 97 49671
985 0 0 0
986 54860 35 987
987 54860 36 2560
988 54965 5 33588
989 0 0 0
990 35609 201 2237
991 28219 19 12723
992 27056 191 26348
993 0 0 0
994 0 0 0
995 0 0 0
996 47745 23 19193
997 0 0 0
998 15440 145 47804
999 0 0 0
1000 5957 48 12800
1001 0 0 0
1002 55919 274 42281
1003 0 0 0
1004 64205 97 29304
1005 29049 51 1006
1006 29049 52 1007
1007 29049 53 1008
1008 29049 54 1009
1009 29049 55 30228
1010 64205 133 31498
1011 58056 148 6324
1012 25834 74 13796
1013 0 0 0
1014 33623 206 1015
1015 33623 207 34825
1016 24585 84 7524
1017 65533 125 16470
1018 40756 87 1019
1019 40756 88 1020
1020 40756 89 1021
1021 40756 90 1022
1022 40756 91 1023
1023 40756 92 16166
1024 20140 95 49157
1025 0 0 0
1026 64205 9 10135
1027 55919 66 18476
1028 54965 274 7952
1029 44631 235 1030
1030 44631 236 1031
1031 44631 237 29176
1032 43834 219 10504
1033 55895 17 1034
1034 55895 18 1035
1035 55895 19 1036
1036 55895 20 1037
1037 55895 21 1038
1038 55895 22 1039
1039 55895 23 1040
1040 55895 24 1041
1041 55895 25 1042
1042 55895 26 29248
1043 53927 306 19823
1044 0 0 0
1045 0 0 0
1046 0 0 0
1047 47124 173 17774
1048 0 0 0
1049 0 0 0
1050 26658 28 18920
1051 0 0 0
1052 48063 137 46592
1053 0 0 0
1054 43702 131 21778
1055 0 0 0
1056 65426 34 1057
1057 65426 35 1058
1058 65426 36 1059
1059 65426 37 1060
1060 65426 38 1061
1061 65426 39 1062
1062 65426 40 1063
1063 65426 41 1064
1064 65426 42 49042
1065 43834 30 7595
1066 24149 46 1522
1067 0 0 0
1068 61128 92 2303
1069 41927 145 1070
1070 41927 146 1071
1071 41927 147 1072
1072 41927 148 42301
1073 5026 291 46696
1074 30078 140 1075
1075 30078 141 1076
1076 30078 142 1077
1077 30078 143 1078
1078 30078 144 1079
1079 30078 145 1080
1080 30078 146 1081
1081 30078 147 1082
1082 30078 148 1083
1083 30078 149 1084
1084 30078 150 1085
1085 30078 151 1086
1086 30078 152 1087
1087 30078 153 1088
1088 30078 154 1089
1089 30078 155 1090
1090 30078 156 1091
1091 30078 157 1092
1092 30078 158 1093
1093 30078 159 1094
1094 30078 160 1095
1095 30078 161 1096
1096 30078 162 1097
1097 30078 163 1098
1098 30078 164 1099
1099 30078 165 1100
1100 30078 166 1101
1101 30078 167 1102
1102 30078 168 1103
1103 30078 169 1104
1104 30078 170 1105
1105 30078 171 1106
1106 30078 172 1107
1107 30078 173 1108
1108 30078 174 1109
1109 30078 175 1110
1110 30078 176 1111
1111 30078 177 32156
1112 62086 70 42256
1113 0 0 0
1114 0 0 0
1115 0 0 0
1116 15688 160 1117
1117 15688 161 1118
1118 15688 162 1119
1119 15688 163 1120
1120 15688 164 1121
1121 15688 165 1122
1122 15688 166 1123
1123 15688 167 1124
1124 15688 168 1125
1125 15688 169 1126
1126 15688 170 1127
1127 15688 171 1128
1128 15688 172 1129
1129 15688 173 1130
1130 15688 174 1131
1131 15688 175 47822
1132 7968 43 34306
1133 57032 31 11178
1134 43702 39 24869
1135 0 0 0
1136 46029 152 16397
1137 0 0 0
1138 35609 340 18334
1139 16438 33 10148
1140 5026 168 36243
1141 0 0 0
1142 39642 124 41284
1143 0 0 0
1144 0 0 0
1145 39588 123 9122
1146 59282 181 32267
1147 0 0 0
1148 23940 101 22765
1149 50276 140 1150
1150 50276 141 1151
1151 50276 142 1152
1152 50276 143 1153
1153 50276 144 32193
1154 62086 41 5350
1155 0 0 0
1156 0 0 0
1157 5026 191 25610
1158 43834 2 5534
1159 7475 36 12700
1160 0 0 0
1161 0 0 0
1162 5389 109 1163
1163 5389 110 1164
1164 5389 111 1165
1165 5389 112 1166
1166 5389 113 1167
1167 5389 114 1168
1168 5389 115 1169
1169 5389 116 1170
1170 5389 117 1171
1171 5389 118 1172
1172 5389 119 1173
1173 5389 120 1174
1174 5389 121 32741
1175 48063 205 32660
1176 57032 62 21892
1177 0 0 0
1178 0 0 0
1179 7475 58 16748
1180 54939 147 19888
1181 5026 72 1893
1182 54860 6 1183
1183 54860 7 33585
1184 19488 32 6338
1185 0 0 0
1186 0 0 0
1187 28219 146 21456
1188 0 0 0
1189 54448 6 32186
1190 44631 262 1191
1191 44631 263 1192
1192 44631 264 1193
1193 44631 265 36057
1194 20643 299 1195
1195 20643 300 1196
1196 20643 301 32240
1197 55919 150 19220
1198 28950 105 11167
1199 35609 381 45626
1200 48063 241 492
1201 54448 76 39204
1202 27056 117 44484
1203 28802 162 17062
1204 0 0 0
1205 0 0 0
1206 46029 71 11161
1207 0 0 0
1208 2655 95 3962
1209 54965 170 19307
1210 0 0 0
1211 0 0 0
1212 20140 8 36068
1213 0 0 0
1214 27294 117 1215
1215 27294 118 1216
1216 27294 119 1217
1217 27294 120 35783
1218 47745 44 36708
1219 0 0 0
1220 19110 272 35540
1221 43834 264 27417
1222 54965 301 26349
1223 59282 105 22226
1224 25862 293 1225
1225 25862 294 1226
1226 25862 295 1227
1227 25862 296 1228
1228 25862 297 1229
1229 25862 298 1230
1230 25862 299 1231
1231 25862 300 1232
1232 25862 301 1233
1233 25862 302 1234
1234 25862 303 1235
1235 25862 304 1236
1236 25862 305 1237
1237 25862 306 1238
1238 25862 307 1239
1239 25862 308 39760
1240 59282 194 13292
1241 0 0 0
1242 0 0 0
1243 1040 159 35127
1244 0 0 0
1245 43702 355 10790
1246 0 0 0
1247 0 0 0
1248 26658 3 12399
1249 0 0 0
1250 18860 100 14518
1251 0 0 0
1252 0 0 0
1253 25834 193 27440
1254 0 0 0
1255 0 0 0
1256 0 0 0
1257 2655 94 1208
1258 61128 107 5647
1259 0 0 0
1260 23940 274 26738
1261 1040 78 27462
1262 0 0 0
1263 0 0 0
1264 48063 240 1200
1265 0 0 0
1266 19110 239 46338
1267 0 0 0
1268 15440 45 5018
1269 0 0 0
1270 0 0 0
1271 54965 32 46953
1272 65533 130 20498
1273 48063 53 24200
1274 48063 52 1273
1275 48643 49 14892
1276 40756 250 1277
1277 40756 251 1278
1278 40756 252 1279
1279 40756 253 37438
1280 24585 7 41549
1281 46729 122 1282
1282 46729 123 1283
1283 46729 124 1284
1284 46729 125 1285
1285 46729 126 49666
1286 46029 163 45339
1287 39642 25 32270
1288 20140 78 21360
1289 0 0 0
1290 47745 19 290
1291 0 0 0
1292 65533 55 6818
1293 0 0 0
1294 24165 160 1295
1295 24165 161 1296
1296 24165 162 1297
1297 24165 163 1298
1298 24165 164 1299
1299 24165 165 1300
1300 24165 166 1301
1301 24165 167 1302
1302 24165 168 1303
1303 24165 169 1304
1304 24165 170 1305
1305 24165 171 1306
1306 24165 172 1307
1307 24165 173 15262
1308 28802 125 36378
1309 0 0 0
1310 0 0 0
1311 0 0 0
1312 43834 372 29466
